timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y,x_OT,y_OT,vx_OT,vy_OTfiltered_vx,filtered_vy
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00779127,-1.5,0,0,0,3,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00752934,-1.5,0,0,0,3,0,0,0,0,0,0,0,0
30,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06589e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00174515,-1.5,0,0,0,3,0,0,0,0,0,0,0,0
40,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00169679,-1.5,0,0,0,3,0,0,0,0,0,0,0,0
50,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00162639,-1.5,0,0,0,3,0,0,0,0,0,0,0,0
60,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00155891,-1.5,0,0,0,3,0,0,0,0,0,0,0,0
70,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.0659e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.0014973,-1.5,0,0,0,3,0,0,0,0,0,0,0,0
80,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06591e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00144111,-1.5,0,0,0,3,0,0,0,0,0,0,0,0
90,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06591e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00129646,-1.5,0,0,0,3,0,0,0,0,0,0,0,0
100,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06591e-13,0,0,-3.15897,0.133627,-0.0851452,0,0,0,0,0,0.288228,0.133627,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0,-0.261799,0.00119674,-1.5,0,0,0,3,0,0,0,0,0,0,0,0
110,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06591e-13,0,0,-3.17753,0.156851,-0.0599022,0,0,0,0,0,0.27067,0.156851,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0,-0.261799,0.00114944,-1.5,0,0,0,3,0,0,0,0,0,0,0,0
120,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06592e-13,0,0,-3.15835,0.151092,-0.0715685,0,0,0,0,0,0.292099,0.151092,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0,-0.261799,0.00109722,-1.5,0,0,0,3,0,0,0,0,0,0,0,0
130,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06592e-13,0,0,-3.12619,0.149567,-0.0717191,0,0,0,0,0,0.329493,0.149567,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0,-0.261799,0.000984751,-1.5,0,0,0,3,0,0,0,0,0,0,0,0
140,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06592e-13,0,0,-3.1544,0.151371,-0.0645392,0,0,0,0,0,0.296778,0.151371,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,-0.230134,-0.261799,0.00092873,-1.5,0,0,0,3,0.297388,0.151407,0,0,0,0,0.0508588,0.00302529
150,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06593e-13,0,0,-3.1544,0.151371,-0.0645392,0,0,0,0,0,0.296778,0.151371,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,-0.230229,-0.261799,0.000890197,-1.5,0,0,0,3,0.298456,0.15147,0,0,0,0,0.0508588,0.00302529
160,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06593e-13,0,0,-3.12826,0.140993,-0.0773287,0,0,0,0,0,0.325519,0.140993,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,-0.0982174,-0.261799,0.000846303,-1.5,0,0,0,3,0.332202,0.138891,0,0,0,0,0.267357,-0.0840656
170,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06593e-13,0,0,-3.12207,0.129428,-0.0824127,0,0,0,0,0,0.330662,0.129428,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,-0.095203,-0.261799,0.000806192,-1.5,0,0,0,3,0.336832,0.136874,0,0,0,0,0.257088,-0.0840657
180,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06593e-13,0,0,-3.16042,0.10644,-0.0680089,0,0,0,0,0,0.281621,0.10644,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.0276678,-0.261799,0.000769665,-1.5,0,0,0,3,0.342745,0.121846,0,0,0,0,0.257087,-0.161312
190,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06594e-13,0,0,-3.16042,0.10644,-0.0680089,0,0,0,0,0,0.281621,0.10644,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.0317648,-0.261799,0.000745305,-1.5,0,0,0,3,0.347116,0.119104,0,0,0,0,0.257087,-0.161312
200,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06596e-13,0,0,-3.13924,0.0565345,-0.0780121,0,0,0,0,0,0.297369,0.0565345,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.175608,-0.261799,0.000714452,-1.5,0,0,0,3,0.298294,0.0957794,0,0,0,0,0.0222025,-0.245156
210,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06594e-13,0,0,-3.13924,0.0565345,-0.0780121,0,0,0,0,0,0.297369,0.0565345,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.182567,-0.261799,0.000687621,-1.5,0,0,0,3,0.298716,0.0911215,0,0,0,0,0.0222025,-0.245156
220,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,0,-1.06597e-13,0,0,-3.15372,0.0547771,-0.0670197,0,0,0,0,0,0.280135,0.0547771,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.190492,-0.261799,0.000651015,-1.5,0,0,0,3,0.299315,0.0845283,0,0,0,0,0.0222023,-0.243675
230,-3.1147e-12,1.68751e-38,-1.50476e-06,-3.18057e-12,1.6874e-38,-3.59999e-12,-1.06594e-13,0,0,-4.16554,-4.45453,-0.00969401,0,0,0,0,0,-1.57957,-4.45453,-1367900288,468368684,-1367900288,468368684,788184133,-1367900288,-1367900256,-1367900256,0.14777,-0.261799,0.000616357,-1.5,0,0,0,3,0.296881,0.087573,0,0,0,0,-0.0102924,-0.21431
