timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
20,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13703e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
30,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13703e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
40,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13704e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
50,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13704e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
60,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13705e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
70,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13705e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
80,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13706e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
90,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13706e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
100,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13707e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
110,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13708e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
120,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13708e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
130,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.13709e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
140,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,0,-1.13709e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
150,-3.21152e-12,8.85504e-38,-1.57461e-06,-3.27738e-12,8.85457e-38,-3.40902e-12,-1.1371e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0,-1.5,-nan,0,0,0,0,0
